prod_id,title,main_cat,sub_cat,category_id,desc,homepage_rank,is_original,is_active,format_id,photographer_id,year_taken
133,Photo of Chicago Harbor Lighthouse - 11x14 photo w/ 14x18 mat,Chicago Cityscape,Chicago Cityscape,24,Free Return Shipping.  This Chicago Cityscape photo is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  ,0,TRUE,TRUE,1,1,2001
260,Photograph of Lonely Bench on a Cold Winter Day - 11x14 photo w/ 14x18 mat,Chicago Black & White,Black & White Chicago - Horizontal,7,"Free Return Shipping.  This Black & White Chicago - Horizontal photograph is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  **This is actually a color photograph, but the day was so overcast and dreary that it looks like an original black and white image.  If you want a true black and white image, please choose the option to Convert photo to B/W.  This photograph of Chicago's Lakefront shows how violent the waters can get when bad weather hits the city.  The photo was shot right off Fullerton Street and was taken around 20 years ago.  It is still a best seller.",0,TRUE,TRUE,1,1,2001
345,Picture of Blizzard of 1979 - Chicago Winter - 11x14 photo w/ 14x18 mat,Chicago Black & White,Black & White Chicago - Horizontal,7,"Free Return Shipping.  This Black & White Chicago - Horizontal picture is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  This photograph captures the harsh winter conditions in Chicago.  This was taken during the winter of 1979 in which over 15 inches of snow fell on several days.  Rather than walk, the man pictured in the photo decided to snow ski along the road.  View more Chicago Black & White photos",0,TRUE,TRUE,1,1,2001
405,Photograph of Wrigley FIeld Aerial - 1980's - 11x14 photo w/ 14x18 mat,Chicago Cubs,Wrigley Field Aerials,61,Free Return Shipping.  This Wrigley Field Aerials photograph is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  ,0,TRUE,TRUE,1,1,2001
537,Photo of Catwalk at Wrigley Field - 11x14 photo w/ 14x18 mat,Chicago Cubs,Wrigley Field,60,Free Return Shipping.  This Wrigley Field photo is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  This is a very old photograph of Wrigley Field taken around 20 years ago.    The 'catwalk' was where the press used to sit and report on the game.,0,TRUE,TRUE,1,1,2001
563,Print of The S Curve of Lake Shore Drive - 11x14 photo w/ 14x18 mat,Chicago Cityscape,Chicago Aerial Views,20,"Free Return Shipping.  This Chicago Aerial Views print is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  Lake Shore Drive stayed essentially the same until 1975, when Wacker Drive was extended east to meet LSD at the S-curve.   Then, around 1982, construction began on a re-configuration of the S-Curve. From Monroe Street to Wacker Drive, LSD was rerouted east along new fill, greatly reducing the sharpness of the curve. This section opened in 1987.",0,TRUE,TRUE,1,1,2001
586,Print of Rough Waters on City Lakefront - 11x14 photo w/ 14x18 mat,Chicago Black & White,Black & White Chicago - Vertical,8,Free Return Shipping.  This Black & White Chicago - Vertical print is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  This vertical photograph of Chicago's Lakefront shows how violent the waters can get when bad weather hits the city.  The photo was shot right off Fullerton Street and was taken around 20 years ago.,0,TRUE,TRUE,1,1,2001
678,Photograph of Columbus Discovering Chicago - 11x14 photo w/ 14x18 mat,Chicago Cityscape,Chicago Cityscape,24,"Free Return Shipping.  This Chicago Cityscape photograph is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  This is one of our best selling photographs that was taken while out on Lake Michigan nearly 30 years ago.  The Chicago skyline sits on the horizon as one of the 'pirate like' ships from the Mackinaw Race departs from the city.  This photo was taken with a   fisheye lens which is a wide-angle lens that takes in an extremely wide, hemispherical image.",0,TRUE,TRUE,1,1,2001
679,Picture of Frank Sinatra at the Chicago Theatre - 11x14 photo w/ 14x18 mat,Chicago Landmarks,Chicago Theatre,31,"Free Return Shipping.  This Chicago Theatre picture is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  This rare photograph of Frank Sinatra playing at the Chicago Theatre was taken on September 10, 1986.  The theatre had just reopened after a $4.3 million, year long renovation.  The opening act was stand up comedian, Tom Dreesen who had toured with Sinatra at the tail end of his career.  Frank Sinatra once told an audience, 'If I'm a saloon singer, then Tom  Dreesen is a saloon comedian.' 'By that', he explained, 'we're both a  couple of neighborhood guys.'    For 13 years Tom opened for Frank Sinatra and together they  toured 45 to 50 cities annually at some of the greatest venues in  America.  During that time, Tom once said in a Los Angeles Times  interview, 'As a kid growing up in Harvey, Illinois I used to shine  shoes in the neighborhood taverns, listening to Frank Sinatra on the  jukebox singing, 'Come Fly With Me'. Now, I'm flying with Frank Sinatra  on his private jet all over the country.'",0,TRUE,TRUE,1,1,2001
712,Photo of Comiskey Park Aerial View - 11x14 photo w/ 14x18 mat,Chicago White Sox,Comiskey Park,33,"Free Return Shipping.  This Comiskey Park photo is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  This is a classic aerial photograph of Old Comiskey Park taken around the mid 1980's.  The Sox would continue to play in this stadium until their final game in 1990.  The following season they began in a new ballpark right across the street.  It originally held the name, Comiskey Park, but was later changed to U.S. Cellular Field in 2003.   This photo would make a great collector's piece for any die hard White Sox fan.",0,TRUE,TRUE,1,1,2001
